# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260530-20260606
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率
,,,320,318,376,48.422413793103445,0.7040229885057471,0.2959770114942529,276,274,327,53.26732673267327,0.7557755775577558,0.24422442244224424,191,189,222,50.21256038647343,0.6714975845410628,0.3285024154589372,125,125,149,45.130434782608695,0.7391304347826086,0.2608695652173913,総計
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center/,new,25,25,27,34.48,0.68,0.32,24,24,26,31.416666666666668,0.6666666666666666,0.3333333333333333,22,22,23,32.86363636363637,0.6818181818181818,0.3181818181818182,3,3,4,46.333333333333336,0.6666666666666666,0.3333333333333333
【大阪府】南港魚つり園護岸｜入場無料！市内から30分で楽しめる本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,new,20,20,22,32.1,0.9,0.1,18,18,19,30.944444444444443,0.8888888888888888,0.1111111111111111,14,14,15,28.142857142857142,0.8571428571428571,0.14285714285714285,6,6,7,41.333333333333336,1,0
【閉業】海釣り公園みかた｜釣ってその場でBBQ！食育にも最適な体験型釣り堀（福井県若狭町） — 海上アングラー,/blog/sea-fishing-park-mikata/,new,17,17,19,33.111111111111114,0.6111111111111112,0.3888888888888889,15,15,17,35.375,0.625,0.375,11,11,13,24.5,0.4166666666666667,0.5833333333333334,6,6,6,50.333333333333336,1,0
【沖縄県】糸満イカダ（つりぐのぞうさん）｜那覇空港から30分！南国パワーと格闘する天然釣り場 — 海上アングラー,/blog/itoman-ikada-tsurigu-no-zousan/,new,9,9,12,20.583333333333332,0.5833333333333334,0.4166666666666667,8,8,11,22.454545454545453,0.6363636363636364,0.36363636363636365,7,7,10,16.7,0.5,0.5,2,2,2,40,1,0
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri/,new,8,8,9,29.125,0.625,0.375,8,8,9,29.125,0.625,0.375,6,6,7,26.333333333333332,0.5,0.5,2,2,2,37.5,1,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,new,10,10,12,15.9,0.5,0.5,4,4,6,36.5,1,0,2,2,2,11,0.5,0.5,8,8,10,17.125,0.5,0.5
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond/,new,8,8,8,84.25,0.75,0.25,7,7,7,95.28571428571429,0.8571428571428571,0.14285714285714285,6,6,6,10.833333333333334,0.6666666666666666,0.3333333333333333,2,2,2,304.5,1,0
【広島県】海上釣り堀 海遊｜阿多田島の離島で高級魚14種が釣り放題！瀬戸内の爆釣パラダイス — 海上アングラー,/blog/kaijo-tsuribori-kaiyu/,new,7,6,8,66.57142857142857,0.7142857142857143,0.2857142857142857,7,6,8,66.57142857142857,0.7142857142857143,0.2857142857142857,4,3,4,92.25,0.5,0.5,2,2,3,18,1,0
【福井県】シーパーク丹生｜手ぶらでGO！釣った真鯛をその場でBBQ！究極の「食育」体験 — 海上アングラー,/blog/seapark-nyu/,new,6,6,6,28.5,0.6666666666666666,0.3333333333333333,5,5,5,34,0.8,0.2,4,4,4,20.5,0.75,0.25,2,2,2,44.5,0.5,0.5
【2026年最新版】中日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/fishing-facility/center-japan/,new,5,5,6,42.2,1,0,5,5,6,42.2,1,0,4,4,5,44.75,1,0,1,1,1,32,1,0
【山形県】由良海洋釣堀｜東北唯一の海上釣り堀！手ぶらで日本海の恵みを満喫 — 海上アングラー,/fishing-facility/yura-marine-fishing-pond/,new,5,5,5,44.4,0.8,0.2,5,5,5,44.4,0.8,0.2,3,3,3,25,0.6666666666666666,0.3333333333333333,2,2,2,73.5,1,0
海上釣り堀の仕掛け・道具ガイド｜失敗しないタックル選びとおすすめ装備 — 海上アングラー,/tactics/gear/,new,5,5,5,20.4,0.8,0.2,5,5,5,20.4,0.8,0.2,1,1,1,84,1,0,4,4,4,4.5,0.75,0.25
Error 404 — 海上アングラー,/fishing-facility/west-japan/mie/tsuribori-denpachiya/,new,7,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,1
【2026年最新版】関西・西日本の海上釣り堀おすすめランキング・海釣り施設一覧 — 海上アングラー,/blog/fishing-facility/west-japan/,new,4,4,4,16.75,1,0,4,4,4,16.75,1,0,0,0,0,0,0,0,4,4,4,16.75,1,0
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land/,new,4,4,4,21.5,0.5,0.5,4,4,4,21.5,0.5,0.5,4,4,4,21.5,0.5,0.5,0,0,0,0,0,0
【福井県】フィッシングレインボー｜三方五湖・日向湖で楽しむ！人気の海上釣り堀・料金・予約・攻略 — 海上アングラー,/fishing-facility/fishing-rainbow/,new,4,4,4,31,0.75,0.25,4,4,4,31,0.75,0.25,0,0,0,0,0,0,4,4,4,31,0.75,0.25
【長崎県】高島飛島磯釣り公園｜往復フェリーで離島へ！520円で味わう本格磯釣りの聖地 — 海上アングラー,/blog/takashima-tobishima-isotsuri-park/,new,4,4,4,32.5,0.75,0.25,4,4,4,32.5,0.75,0.25,3,3,3,27.666666666666668,0.6666666666666666,0.3333333333333333,1,1,1,47,1,0
