# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260620-20260627
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率
,,,473,470,567,48.098837209302324,0.6337209302325582,0.36627906976744184,395,392,485,54.48512585812357,0.7070938215102975,0.2929061784897025,294,291,354,45.71207430340557,0.6346749226006192,0.3653250773993808,174,174,208,52.95187165775401,0.6417112299465241,0.3582887700534759,総計
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center/,new,22,22,25,24.333333333333332,0.5833333333333334,0.4166666666666667,22,22,25,24.333333333333332,0.5833333333333334,0.4166666666666667,17,17,20,23.736842105263158,0.5789473684210527,0.42105263157894735,4,4,4,33.25,0.75,0.25
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land/,new,11,11,14,17.307692307692307,0.6923076923076923,0.3076923076923077,11,11,14,17.307692307692307,0.6923076923076923,0.3076923076923077,9,9,12,14.272727272727273,0.6363636363636364,0.36363636363636365,2,2,2,34,1,0
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan/,new,12,11,15,20.166666666666668,0.8333333333333334,0.16666666666666666,12,11,15,20.166666666666668,0.8333333333333334,0.16666666666666666,10,9,13,19.2,0.8,0.2,2,2,2,25,1,0
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri/,new,10,10,10,17.7,0.6,0.4,10,10,10,17.7,0.6,0.4,10,10,10,17.7,0.6,0.4,0,0,0,0,0,0
【大阪府】南港魚つり園護岸｜入場無料・予約不要！市内30分の本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,new,9,9,10,38,0.6666666666666666,0.3333333333333333,7,7,8,48.857142857142854,0.8571428571428571,0.14285714285714285,7,7,8,42.285714285714285,0.7142857142857143,0.2857142857142857,2,2,2,23,0.5,0.5
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond/,new,8,8,8,28.75,0.5,0.5,8,8,8,28.75,0.5,0.5,8,8,8,28.75,0.5,0.5,0,0,0,0,0,0
海上アングラー — 日本一の海上釣り堀総合情報サイト,/,new,10,10,11,9.2,0.4,0.6,4,4,5,20.75,0.75,0.25,3,3,3,2,0,1,7,7,8,12.285714285714286,0.5714285714285714,0.42857142857142855
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/blog/column/ranking/kansai/,new,8,8,8,10.125,0.625,0.375,6,6,6,13.5,0.6666666666666666,0.3333333333333333,5,5,5,16.2,0.6,0.4,3,3,3,0,0.6666666666666666,0.3333333333333333
