# ----------------------------------------
# kaijo-fishing.com
# weekly-report-Weekly-analyss
# 20260627-20260704
# ----------------------------------------

,,セグメント,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,すべてのユーザー,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,オーガニック トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,モバイル トラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック,ウェブのトラフィック
ページ タイトル,ランディング ページ + クエリ文字列,新規 / 既存,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率,総ユーザー数,アクティブ ユーザー,表示回数,セッションあたりの平均エンゲージメント時間,エンゲージメント率,直帰率
,,,493,483,595,48.40264650283554,0.6956521739130435,0.30434782608695654,416,408,511,52.03761061946903,0.7522123893805309,0.24778761061946902,317,309,378,42.70967741935484,0.6627565982404692,0.33724340175953077,169,167,209,56.25555555555555,0.7444444444444445,0.25555555555555554,総計
"【沖縄県】糸満イカダ｜大人2,800円！那覇空港30分で高級魚タマンに挑む天然釣り場 — 海上アングラー",/blog/itoman-ikada-tsurigu-no-zousan/,new,33,33,45,44.65,0.9,0.1,33,33,45,44.65,0.9,0.1,22,22,32,46.81481481481482,0.8518518518518519,0.14814814814814814,10,10,12,40.916666666666664,1,0
【兵庫県】姫路市立遊漁センター｜※2024年休園：瀬戸内・福泊の桟橋海釣り（記録・アーカイブ） — 海上アングラー,/blog/himeji-city-fishing-center/,new,20,20,29,41.81818181818182,0.6818181818181818,0.3181818181818182,18,18,26,25.9,0.7,0.3,17,17,24,42.578947368421055,0.631578947368421,0.3684210526315789,3,3,5,37,1,0
【大阪府】南港魚つり園護岸｜入場無料・予約不要！市内30分の本格海釣りスポット — 海上アングラー,/blog/nanko-fishing-park/,new,15,15,17,42.333333333333336,0.8,0.2,14,14,16,45.357142857142854,0.8571428571428571,0.14285714285714285,14,14,16,40.5,0.7857142857142857,0.21428571428571427,0,0,0,0,0,0
【宮崎県】志布志湾大黒イルカランド（天然釣堀）｜イルカショーも釣りも！釣った魚は全買取の「確実」な釣り堀 — 海上アングラー,/blog/shibushi-bay-daikoku-dolphin-land/,new,14,14,16,36.333333333333336,0.8,0.2,13,13,15,38.142857142857146,0.7857142857142857,0.21428571428571427,13,13,15,38.57142857142857,0.8571428571428571,0.14285714285714285,1,1,1,5,0,1
【2026年最新】関西の海上釣り堀おすすめランキング｜大阪・兵庫 全9施設を比較 — 海上アングラー,/blog/column/ranking/kansai/,new,13,13,13,28.23076923076923,0.6153846153846154,0.38461538461538464,11,11,11,33.36363636363637,0.6363636363636364,0.36363636363636365,10,10,10,31.6,0.7,0.3,3,3,3,17,0.3333333333333333,0.6666666666666666
【三重県】鵜方浜釣センター｜屋根・トイレ完備の「快適筏」で英虞湾の野生チヌに挑む — 海上アングラー,/blog/ugata-hamatsuri-center/,new,12,12,14,60.666666666666664,1,0,11,11,13,56.72727272727273,1,0,5,5,7,57,1,0,7,7,7,63.285714285714285,1,0
【大阪府】海釣ぽーと田尻｜雨でも安心！橋の下にある全天候型・放流満載の釣り堀 — 海上アングラー,/blog/umizuri-port-tajiri/,new,12,12,14,49.333333333333336,0.75,0.25,10,10,12,47.8,0.8,0.2,12,12,14,49.333333333333336,0.75,0.25,0,0,0,0,0,0
【休止中】勇払マリーナ海上釣り堀｜北海道初！幻の海上釣り堀の記録と今後の展望 — 海上アングラー,/blog/yuharai-pond/,new,11,11,13,28.166666666666668,0.75,0.25,10,10,12,30.727272727272727,0.8181818181818182,0.18181818181818182,9,9,11,20.8,0.7,0.3,2,2,2,65,1,0
